Property Name,URI,Label,Domain,Range,Is Functional,Is Inverse Functional,Inverse Of,Sub-property Of (list),Comment
Feature_ownedTyping,https://www.omg.org/spec/SysML#Feature_ownedTyping,ownedTyping,Feature,FeatureTyping,Yes,No,FeatureTyping_owningFeature,,"<p>The <code>ownedSpecializations</code> of this <code>Feature</code> that are <code>FeatureTypings</code>, for which the <code>Feature</code> is the <code>typedFeature</code>.</p>"
Feature_owningFeatureMembership,https://www.omg.org/spec/SysML#Feature_owningFeatureMembership,owningFeatureMembership,Feature,FeatureMembership,Yes,No,FeatureMembership_ownedMemberFeature,,"<p>The <code>FeatureMembership</code> that owns this <code>Feature</code> as an <code>ownedMemberFeature</code>, determining its <code>owningType</code>.</p>"
Feature_owningType,https://www.omg.org/spec/SysML#Feature_owningType,owningType,Feature,Type,No,No,Type_ownedFeature,Feature_featuringType,<p>The <code>Type</code> that is the <code>owningType</code> of the <code>owningFeatureMembership</code> of this <code>Feature</code>.</p>
FramedConcernMembership_ownedConcern,https://www.omg.org/spec/SysML#FramedConcernMembership_ownedConcern,ownedConcern,FramedConcernMembership,ConcernUsage,Yes,No,,RequirementConstraintMembership_ownedConstraint,<p>The <code>ConcernUsage</code> that is the <code>ownedConstraint</code> of this <code>FramedConcernMembership</code>.</p>
Namespace_ownedImport,https://www.omg.org/spec/SysML#Namespace_ownedImport,ownedImport,Namespace,Import,Yes,No,Import_importOwningNamespace,,"<p>The <code>ownedRelationships</code> of this <code>Namespace</code> that are <code>Imports</code>, for which the <code>Namespace</code> is the <code>importOwningNamespace</code>.</p>"
Namespace_ownedMember,https://www.omg.org/spec/SysML#Namespace_ownedMember,ownedMember,Namespace,Element,No,No,,Namespace_member,"<p>The owned <code>members</code> of this <code>Namespace</code>, which are the <cpde><code>ownedMemberElements</code> of the <code>ownedMemberships</code> of the <code>Namespace</code>.</p>"
Namespace_ownedMembership,https://www.omg.org/spec/SysML#Namespace_ownedMembership,ownedMembership,Namespace,Membership,Yes,No,Membership_membershipOwningNamespace,Namespace_membership,"<p>The <code>ownedRelationships</code> of this <code>Namespace</code> that are <code>Memberships</code>, for which the <code>Namespace</code> is the <code>membershipOwningNamespace</code>.</p>"
ObjectiveMembership_ownedObjectiveRequirement,https://www.omg.org/spec/SysML#ObjectiveMembership_ownedObjectiveRequirement,ownedObjectiveRequirement,ObjectiveMembership,RequirementUsage,Yes,No,,FeatureMembership_ownedMemberFeature,<p>The RequirementUsage that is the <code>ownedMemberFeature</code> of this RequirementUsage.</p>
OwningMembership_ownedMemberElement,https://www.omg.org/spec/SysML#OwningMembership_ownedMemberElement,ownedMemberElement,OwningMembership,Element,Yes,No,,Membership_memberElement | Relationship_ownedRelatedElement,<p>The <code>Element</code> that becomes an <code>ownedMember</code> of the <code>membershipOwningNamespace</code> due to this <code>OwningMembership</code>.</p>
ParameterMembership_ownedMemberParameter,https://www.omg.org/spec/SysML#ParameterMembership_ownedMemberParameter,ownedMemberParameter,ParameterMembership,Feature,Yes,No,,FeatureMembership_ownedMemberFeature,<p>The <code>Feature</code> that is identified as a <code>parameter</code> by this <code>ParameterMembership</code>.</p>
